Title
Arches NP

Year,RecreationVisitors,TotalRecreationVisitors
1929,500,"43,427,888"
1930,400,"43,427,888"
1931,405,"43,427,888"
1932,480,"43,427,888"
1933,425,"43,427,888"
1934,275,"43,427,888"
1935,300,"43,427,888"
1936,400,"43,427,888"
1937,"1,000","43,427,888"
1938,"1,448","43,427,888"
1939,"1,775","43,427,888"
1940,"2,512","43,427,888"
1941,"3,737","43,427,888"
1942,"1,205","43,427,888"
1943,776,"43,427,888"
1944,642,"43,427,888"
1945,682,"43,427,888"
1946,"2,301","43,427,888"
1947,"5,028","43,427,888"
1948,"8,870","43,427,888"
1949,"13,270","43,427,888"
1950,"16,257","43,427,888"
1951,"18,603","43,427,888"
1952,"28,683","43,427,888"
1953,"30,853","43,427,888"
1954,"31,300","43,427,888"
1955,"31,800","43,427,888"
1956,"28,500","43,427,888"
1957,"25,400","43,427,888"
1958,"40,100","43,427,888"
1959,"59,800","43,427,888"
1960,"71,600","43,427,888"
1961,"90,700","43,427,888"
1962,"105,700","43,427,888"
1963,"118,200","43,427,888"
1964,"99,700","43,427,888"
1965,"143,900","43,427,888"
1966,"128,000","43,427,888"
1967,"120,300","43,427,888"
1968,"135,600","43,427,888"
1969,"162,600","43,427,888"
1970,"178,500","43,427,888"
1971,"202,100","43,427,888"
1972,"225,128","43,427,888"
1973,"274,900","43,427,888"
1974,"166,900","43,427,888"
1975,"236,100","43,427,888"
1976,"294,800","43,427,888"
1977,"313,400","43,427,888"
1978,"326,948","43,427,888"
1979,"269,840","43,427,888"
1980,"290,519","43,427,888"
1981,"326,508","43,427,888"
1982,"339,415","43,427,888"
1983,"287,875","43,427,888"
1984,"345,180","43,427,888"
1985,"363,464","43,427,888"
1986,"419,444","43,427,888"
1987,"468,916","43,427,888"
1988,"520,455","43,427,888"
1989,"555,809","43,427,888"
1990,"620,719","43,427,888"
1991,"705,882","43,427,888"
1992,"799,831","43,427,888"
1993,"773,678","43,427,888"
1994,"777,178","43,427,888"
1995,"859,374","43,427,888"
1996,"856,016","43,427,888"
1997,"858,525","43,427,888"
1998,"837,161","43,427,888"
1999,"869,980","43,427,888"
2000,"786,429","43,427,888"
2001,"754,026","43,427,888"
2002,"769,672","43,427,888"
2003,"757,781","43,427,888"
2004,"733,131","43,427,888"
2005,"781,670","43,427,888"
2006,"833,049","43,427,888"
2007,"860,181","43,427,888"
2008,"928,795","43,427,888"
2009,"996,312","43,427,888"
2010,"1,014,405","43,427,888"
2011,"1,040,758","43,427,888"
2012,"1,070,577","43,427,888"
2013,"1,082,866","43,427,888"
2014,"1,284,767","43,427,888"
2015,"1,399,247","43,427,888"
2016,"1,585,718","43,427,888"
2017,"1,539,028","43,427,888"
2018,"1,663,557","43,427,888"
2019,"1,659,702","43,427,888"
2020,"1,238,083","43,427,888"
2021,"1,806,865","43,427,888"
2022,"1,460,652","43,427,888"
2023,"1,482,045","43,427,888"

