Title
Big Bend NP

Year,RecreationVisitors,TotalRecreationVisitors
1944,"1,409","19,162,799"
1945,"3,205","19,162,799"
1946,"10,037","19,162,799"
1947,"28,652","19,162,799"
1948,"45,670","19,162,799"
1949,"62,150","19,162,799"
1950,"70,325","19,162,799"
1951,"84,051","19,162,799"
1952,"94,367","19,162,799"
1953,"86,635","19,162,799"
1954,"67,300","19,162,799"
1955,"81,000","19,162,799"
1956,"89,700","19,162,799"
1957,"75,000","19,162,799"
1958,"72,600","19,162,799"
1959,"70,400","19,162,799"
1960,"75,900","19,162,799"
1961,"90,600","19,162,799"
1962,"91,000","19,162,799"
1963,"114,200","19,162,799"
1964,"119,700","19,162,799"
1965,"174,600","19,162,799"
1966,"163,500","19,162,799"
1967,"173,300","19,162,799"
1968,"191,800","19,162,799"
1969,"199,800","19,162,799"
1970,"172,600","19,162,799"
1971,"205,000","19,162,799"
1972,"240,904","19,162,799"
1973,"283,300","19,162,799"
1974,"158,700","19,162,799"
1975,"275,500","19,162,799"
1976,"378,600","19,162,799"
1977,"334,000","19,162,799"
1978,"301,198","19,162,799"
1979,"282,941","19,162,799"
1980,"174,008","19,162,799"
1981,"167,332","19,162,799"
1982,"180,144","19,162,799"
1983,"164,926","19,162,799"
1984,"167,665","19,162,799"
1985,"188,045","19,162,799"
1986,"200,622","19,162,799"
1987,"227,921","19,162,799"
1988,"239,595","19,162,799"
1989,"281,728","19,162,799"
1990,"257,378","19,162,799"
1991,"296,470","19,162,799"
1992,"294,535","19,162,799"
1993,"327,907","19,162,799"
1994,"330,417","19,162,799"
1995,"295,460","19,162,799"
1996,"279,454","19,162,799"
1997,"305,882","19,162,799"
1998,"338,442","19,162,799"
1999,"327,649","19,162,799"
2000,"262,320","19,162,799"
2001,"328,927","19,162,799"
2002,"327,747","19,162,799"
2003,"312,384","19,162,799"
2004,"357,723","19,162,799"
2005,"398,583","19,162,799"
2006,"298,717","19,162,799"
2007,"364,856","19,162,799"
2008,"362,512","19,162,799"
2009,"363,905","19,162,799"
2010,"372,330","19,162,799"
2011,"361,862","19,162,799"
2012,"292,055","19,162,799"
2013,"316,953","19,162,799"
2014,"314,102","19,162,799"
2015,"381,747","19,162,799"
2016,"388,290","19,162,799"
2017,"440,276","19,162,799"
2018,"440,091","19,162,799"
2019,"463,832","19,162,799"
2020,"393,907","19,162,799"
2021,"581,220","19,162,799"
2022,"514,107","19,162,799"
2023,"509,129","19,162,799"

