Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
BRCA,Bryce Canyon National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,Pronghorn,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,mountain goat,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,Bighorn Sheep,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Artiodactyla,Cervidae,155879,-501601,Inactive,Cervus canadensis,Elk,"Cervus elaphus, Cervus canadensis nelsoni",Present
BRCA,Bryce Canyon National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,Odocoileus hemionus macrotis,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,Canis latrans lestes,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Common Gray Fox,Urocyon cinereoargenteus scottii,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,Vulpes fulva macroura,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,Canada lynx,,Probably Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,Felis concolor,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,Spilogale gracilis saxatilis,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,Mustela frenata nevadensis,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,American Badger,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American Black Bear,Ursus americanus amblyceps,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,Antrozous pallidus pallidus,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's Big-eared Bat,Plecotus townsendii,Probably Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,Eptesicus fuscus pallidus,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,Spotted Bat,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88735,180012,Active,Idionycteris phyllotis,Allen's Big-eared Bat,,Probably Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California Myotis,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,Western Small-footed Myotis,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,Long-eared Myotis,Myotis evotis evotis,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,Little Brown Myotis,Myotis lucifugus carissima,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,Myotis thysanodes thysanodes,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,Myotis volans interior,Present
BRCA,Bryce Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Eulipotyphla,Soricidae,88663,179949,Active,Sorex merriami,Merriam's Shrew,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Eulipotyphla,Soricidae,88665,179950,Active,Sorex monticolus,Montane Shrew,Sorex monticolus obscurus,Present
BRCA,Bryce Canyon National Park,Mammal,1,Eulipotyphla,Soricidae,88666,179951,Active,Sorex nanus,Dwarf Shrew,,Present
BRCA,Bryce Canyon National Park,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,Black-tailed Jackrabbit,Lepus californicus deserticola,Present
BRCA,Bryce Canyon National Park,Mammal,1,Lagomorpha,Leporidae,89644,180118,Active,Lepus townsendii,White-tailed Jackrabbit,Lepus townsendi townsendi,Present
BRCA,Bryce Canyon National Park,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,Desert Cottontail,Sylvilagus auduboni arizonae,Probably Present
BRCA,Bryce Canyon National Park,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,Mountain Cottontail,Sylvilagus nuttallii grangeri,Present
BRCA,Bryce Canyon National Park,Mammal,1,Rodentia,Cricetidae,260595,552490,Active,Lemmiscus curtatus,Sagebrush Vole,"Lagurus curtatus pauperrimus, Lagurus curtatus, Lagurus curtatus intermedius, Lemmiscus curtatus intermedius",Present
BRCA,Bryce Canyon National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,Long-tailed Vole,Microtus longicaudus latus,Present
BRCA,Bryce Canyon National Park,Mammal,1,Rodentia,Cricetidae,91701,180310,Active,Microtus montanus,Montane Vole,Microtus montanus amosus,Present
BRCA,Bryce Canyon National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,Bushy-tailed Woodrat,"Neotoma cinerea acraia, Neotoma cinerea cinerea",Present
BRCA,Bryce Canyon National Park,Mammal,1,Rodentia,Cricetidae,91771,180374,Active,Neotoma lepida,Desert Woodrat,Neotoma lepida monstrabilis,Present
BRCA,Bryce Canyon National Park,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,Brush Mouse,Peromyscus boylii utahensis,Present
BRCA,Bryce Canyon National Park,Mammal,1,Rodentia,Cricetidae,90752,180284,Active,Peromyscus crinitus,Canyon Mouse,Peromyscus crinitus stephensi,Present
BRCA,Bryce Canyon National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Deer Mouse,Peromyscus maniculatus sonoriensis,Present
