Title
Canyonlands NP

Year,RecreationVisitors,TotalRecreationVisitors
1965,"19,400","19,190,788"
1966,"20,200","19,190,788"
1967,"23,200","19,190,788"
1968,"26,300","19,190,788"
1969,"26,000","19,190,788"
1970,"33,400","19,190,788"
1971,"55,400","19,190,788"
1972,"60,639","19,190,788"
1973,"62,500","19,190,788"
1974,"59,000","19,190,788"
1975,"71,700","19,190,788"
1976,"80,000","19,190,788"
1977,"75,500","19,190,788"
1978,"85,932","19,190,788"
1979,"74,545","19,190,788"
1980,"56,505","19,190,788"
1981,"89,915","19,190,788"
1982,"97,079","19,190,788"
1983,"100,022","19,190,788"
1984,"102,533","19,190,788"
1985,"116,672","19,190,788"
1986,"172,987","19,190,788"
1987,"172,384","19,190,788"
1988,"212,100","19,190,788"
1989,"257,411","19,190,788"
1990,"276,831","19,190,788"
1991,"339,315","19,190,788"
1992,"395,698","19,190,788"
1993,"434,844","19,190,788"
1994,"429,921","19,190,788"
1995,"448,769","19,190,788"
1996,"447,527","19,190,788"
1997,"432,697","19,190,788"
1998,"436,524","19,190,788"
1999,"446,160","19,190,788"
2000,"401,558","19,190,788"
2001,"368,592","19,190,788"
2002,"367,078","19,190,788"
2003,"386,986","19,190,788"
2004,"371,706","19,190,788"
2005,"393,381","19,190,788"
2006,"392,537","19,190,788"
2007,"417,560","19,190,788"
2008,"436,715","19,190,788"
2009,"436,241","19,190,788"
2010,"435,908","19,190,788"
2011,"473,773","19,190,788"
2012,"452,952","19,190,788"
2013,"462,242","19,190,788"
2014,"542,431","19,190,788"
2015,"634,607","19,190,788"
2016,"776,218","19,190,788"
2017,"742,271","19,190,788"
2018,"739,449","19,190,788"
2019,"733,996","19,190,788"
2020,"493,914","19,190,788"
2021,"911,594","19,190,788"
2022,"779,147","19,190,788"
2023,"800,322","19,190,788"

