Title
Carlsbad Caverns NP

Year,RecreationVisitors,TotalRecreationVisitors
1924,"1,280","46,478,465"
1925,"1,794","46,478,465"
1926,"10,904","46,478,465"
1927,"26,436","46,478,465"
1928,"46,335","46,478,465"
1929,"76,822","46,478,465"
1930,"90,104","46,478,465"
1931,"81,275","46,478,465"
1932,"61,474","46,478,465"
1933,"53,768","46,478,465"
1934,"88,349","46,478,465"
1935,"113,753","46,478,465"
1936,"148,129","46,478,465"
1937,"201,333","46,478,465"
1938,"205,765","46,478,465"
1939,"212,348","46,478,465"
1940,"236,653","46,478,465"
1941,"285,418","46,478,465"
1942,"124,809","46,478,465"
1943,"89,128","46,478,465"
1944,"122,467","46,478,465"
1945,"193,237","46,478,465"
1946,"380,465","46,478,465"
1947,"405,266","46,478,465"
1948,"435,481","46,478,465"
1949,"431,187","46,478,465"
1950,"467,283","46,478,465"
1951,"493,618","46,478,465"
1952,"531,751","46,478,465"
1953,"510,318","46,478,465"
1954,"444,300","46,478,465"
1955,"466,200","46,478,465"
1956,"455,000","46,478,465"
1957,"451,100","46,478,465"
1958,"435,200","46,478,465"
1959,"483,900","46,478,465"
1960,"537,000","46,478,465"
1961,"590,000","46,478,465"
1962,"556,000","46,478,465"
1963,"586,600","46,478,465"
1964,"588,000","46,478,465"
1965,"591,000","46,478,465"
1966,"604,800","46,478,465"
1967,"630,800","46,478,465"
1968,"668,400","46,478,465"
1969,"672,900","46,478,465"
1970,"712,700","46,478,465"
1971,"791,600","46,478,465"
1972,"856,086","46,478,465"
1973,"840,100","46,478,465"
1974,"672,400","46,478,465"
1975,"790,000","46,478,465"
1976,"876,500","46,478,465"
1977,"862,800","46,478,465"
1978,"867,277","46,478,465"
1979,"721,647","46,478,465"
1980,"672,963","46,478,465"
1981,"771,766","46,478,465"
1982,"781,963","46,478,465"
1983,"712,247","46,478,465"
1984,"712,989","46,478,465"
1985,"732,482","46,478,465"
1986,"752,552","46,478,465"
1987,"781,300","46,478,465"
1988,"786,135","46,478,465"
1989,"792,378","46,478,465"
1990,"747,016","46,478,465"
1991,"679,450","46,478,465"
1992,"688,742","46,478,465"
1993,"687,161","46,478,465"
1994,"617,087","46,478,465"
1995,"588,609","46,478,465"
1996,"557,217","46,478,465"
1997,"540,797","46,478,465"
1998,"522,076","46,478,465"
1999,"514,418","46,478,465"
2000,"469,303","46,478,465"
2001,"455,621","46,478,465"
2002,"476,259","46,478,465"
2003,"457,631","46,478,465"
2004,"419,599","46,478,465"
2005,"413,786","46,478,465"
2006,"407,367","46,478,465"
2007,"409,560","46,478,465"
2008,"400,381","46,478,465"
2009,"432,639","46,478,465"
2010,"428,524","46,478,465"
2011,"365,000","46,478,465"
2012,"381,058","46,478,465"
2013,"388,566","46,478,465"
2014,"397,309","46,478,465"
2015,"445,720","46,478,465"
2016,"466,773","46,478,465"
2017,"520,026","46,478,465"
2018,"465,912","46,478,465"
2019,"440,691","46,478,465"
2020,"183,835","46,478,465"
2021,"349,244","46,478,465"
2022,"390,932","46,478,465"
2023,"394,121","46,478,465"

