Title
Glacier NP

Year,RecreationVisitors,TotalRecreationVisitors
1911,"4,000","124,972,813"
1912,"6,257","124,972,813"
1913,"12,138","124,972,813"
1914,"14,168","124,972,813"
1915,"14,265","124,972,813"
1916,"12,839","124,972,813"
1917,"18,387","124,972,813"
1918,"9,086","124,972,813"
1919,"18,956","124,972,813"
1920,"22,449","124,972,813"
1921,"19,736","124,972,813"
1922,"23,935","124,972,813"
1923,"33,988","124,972,813"
1924,"33,372","124,972,813"
1925,"40,063","124,972,813"
1926,"37,325","124,972,813"
1927,"41,745","124,972,813"
1928,"53,454","124,972,813"
1929,"70,742","124,972,813"
1930,"73,776","124,972,813"
1931,"63,497","124,972,813"
1932,"53,202","124,972,813"
1933,"76,715","124,972,813"
1934,"116,965","124,972,813"
1935,"143,240","124,972,813"
1936,"210,072","124,972,813"
1937,"194,522","124,972,813"
1938,"153,528","124,972,813"
1939,"170,073","124,972,813"
1940,"177,307","124,972,813"
1941,"178,449","124,972,813"
1942,"62,196","124,972,813"
1943,"23,908","124,972,813"
1944,"35,857","124,972,813"
1945,"67,942","124,972,813"
1946,"200,547","124,972,813"
1947,"327,300","124,972,813"
1948,"284,549","124,972,813"
1949,"482,208","124,972,813"
1950,"482,298","124,972,813"
1951,"496,142","124,972,813"
1952,"649,689","124,972,813"
1953,"633,480","124,972,813"
1954,"608,200","124,972,813"
1955,"674,100","124,972,813"
1956,"718,900","124,972,813"
1957,"759,200","124,972,813"
1958,"706,800","124,972,813"
1959,"722,300","124,972,813"
1960,"724,500","124,972,813"
1961,"740,000","124,972,813"
1962,"966,100","124,972,813"
1963,"810,200","124,972,813"
1964,"642,200","124,972,813"
1965,"847,100","124,972,813"
1966,"907,800","124,972,813"
1967,"884,000","124,972,813"
1968,"964,500","124,972,813"
1969,"1,051,200","124,972,813"
1970,"1,241,600","124,972,813"
1971,"1,302,200","124,972,813"
1972,"1,391,299","124,972,813"
1973,"1,397,800","124,972,813"
1974,"1,405,500","124,972,813"
1975,"1,570,000","124,972,813"
1976,"1,661,200","124,972,813"
1977,"1,654,500","124,972,813"
1978,"1,582,632","124,972,813"
1979,"1,446,086","124,972,813"
1980,"1,474,578","124,972,813"
1981,"1,786,523","124,972,813"
1982,"1,666,114","124,972,813"
1983,"2,203,847","124,972,813"
1984,"1,946,703","124,972,813"
1985,"1,603,011","124,972,813"
1986,"1,579,151","124,972,813"
1987,"1,660,737","124,972,813"
1988,"1,817,733","124,972,813"
1989,"1,821,523","124,972,813"
1990,"1,986,737","124,972,813"
1991,"2,096,966","124,972,813"
1992,"2,199,767","124,972,813"
1993,"2,141,704","124,972,813"
1994,"2,152,989","124,972,813"
1995,"1,839,518","124,972,813"
1996,"1,720,805","124,972,813"
1997,"1,708,856","124,972,813"
1998,"1,830,944","124,972,813"
1999,"1,684,604","124,972,813"
2000,"1,728,693","124,972,813"
2001,"1,680,614","124,972,813"
2002,"1,905,689","124,972,813"
2003,"1,664,046","124,972,813"
2004,"2,033,933","124,972,813"
2005,"1,925,101","124,972,813"
2006,"1,964,399","124,972,813"
2007,"2,083,329","124,972,813"
2008,"1,808,027","124,972,813"
2009,"2,031,348","124,972,813"
2010,"2,200,048","124,972,813"
2011,"1,853,564","124,972,813"
2012,"2,162,035","124,972,813"
2013,"2,190,374","124,972,813"
2014,"2,338,528","124,972,813"
2015,"2,366,056","124,972,813"
2016,"2,946,681","124,972,813"
2017,"3,305,512","124,972,813"
2018,"2,965,309","124,972,813"
2019,"3,049,839","124,972,813"
2020,"1,698,864","124,972,813"
2021,"3,081,656","124,972,813"
2022,"2,908,458","124,972,813"
2023,"2,933,616","124,972,813"

