Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
GRCA,Grand Canyon National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"pronghorn, Pronghorn",,Present
GRCA,Grand Canyon National Park,Mammal,1,Artiodactyla,Bovidae,95055,180706,Active,Bison bison,"American Bison, bison, plains bison","Bison bison, Bison bison bison",Present
GRCA,Grand Canyon National Park,Mammal,1,Artiodactyla,Bovidae,891619,898804,Active,Ovis canadensis mexicana,"bighorn sheep, Bighorn Sheep",Ovis canadensis,Present
GRCA,Grand Canyon National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,"elk, wapiti",Cervus elaphus canadensis,Present
GRCA,Grand Canyon National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer",,Present
GRCA,Grand Canyon National Park,Mammal,1,Artiodactyla,Tayassuidae,264631,552761,Active,Pecari tajacu,javelina,Tayassu tajacu,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,Kit Fox,,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,Felis concolor,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Mephitidae,93305,180567,Active,Conepatus leuconotus,"White-backed hog-nosed skunk, American hog-nosed skunk",,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,"Common Otter, North American River Otter, Northern River Otter, River Otter",,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, Badger",,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Procyonidae,264247,552462,Active,Nasua narica,White-nosed Coati,,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
GRCA,Grand Canyon National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American Black Bear, black bear",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,"Greater Bonneted Bat, Western Bonneted Bat, Western Mastiff-bat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Molossidae,938312,948314,Active,Eumops perotis californicus,"Greater Western Bonneted Bat, Greater Western Mastiff Bat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Molossidae,89607,180085,Active,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Molossidae,89608,180086,Active,Nyctinomops macrotis,big free-tailed bat,Tadarida macrotis,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,"Brazilian Free-tailed Bat, Mexican Free-tailed Bat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Phyllostomidae,89582,180062,Active,Choeronycteris mexicana,Mexican Long-tongued Bat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Pale Townsend’s big-eared bat,Plecotus townsendii,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,"Pinto Bat, Spotted Bat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88735,180012,Active,Idionycteris phyllotis,Allen's lappet-browed bat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,260642,552512,Active,Lasiurus blossevillii,"Red Bat, Southern Red Bat, Western Red Bat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88711,179992,Active,Myotis auriculus,Southwestern Myotis,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California Myotis, Californian Myotis",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Present
GRCA,Grand Canyon National Park,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,Western Pipistrelle,,Present
GRCA,Grand Canyon National Park,Mammal,1,Eulipotyphla,Soricidae,88690,179973,Active,Notiosorex crawfordi,Crawford's desert shrew,Notiosorex crawfordi crawfordi,Present
GRCA,Grand Canyon National Park,Mammal,1,Eulipotyphla,Soricidae,88663,179949,Active,Sorex merriami,Merriam's Shrew,,Present
GRCA,Grand Canyon National Park,Mammal,1,Eulipotyphla,Soricidae,88666,179951,Active,Sorex nanus,"Dwarf Shrew, Rocky Mountain dwarf shrew",,Present
GRCA,Grand Canyon National Park,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,"Black-tailed Jack Rabbit, Black-tailed Jackrabbit, California Jackrabbit, Gray-sided Jackrabbit, Great Plains Jackrabbit, Jackass-hare, Narrow-gauge Mule, Texan Hare, Texas Jack",,Present
GRCA,Grand Canyon National Park,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,"Audubon's Cottontail, Desert Cottontail",Sylvilagus auduboni,Present
GRCA,Grand Canyon National Park,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,"Mountain Cottontail, Nuttall's cottontail",,Present
GRCA,Grand Canyon National Park,Mammal,1,Perissodactyla,Equidae,95037,180690,Active,Equus asinus,"Ass, burro, Donkey, feral burro, Wild Ass",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American Beaver,Castor canadensis repentinus,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,"Coronation Island vole, Long-tailed Vole",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91698,180308,Active,Microtus mexicanus,Navajo Mexican vole,Microtus mexicanus navaho,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91767,180370,Active,Neotoma albigula,White-throated Woodrat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,Bushy-tailed Woodrat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91771,180374,Active,Neotoma lepida,Desert Woodrat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91772,180375,Active,Neotoma mexicana,Mexican Woodrat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91774,180377,Active,Neotoma stephensi,"Stephen's Woodrat, Stephens's woodrat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,"Common Muskrat, Muskbeaver, Muskrat",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91780,180382,Active,Onychomys leucogaster,Northern Grasshopper Mouse,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,"Brush Deermouse, Brush Mouse",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,90752,180284,Active,Peromyscus crinitus,"Canyon Deermouse, Canyon Mouse",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,90754,180286,Active,Peromyscus eremicus,"Cactus Deermouse, Cactus Mouse",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,"Deer Mouse, North American Deermouse",Peromyscus maniculatus rufinus,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,"Piñon Deermouse, piñon mouse, Pinyon Mouse",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,"common porcupine, porcupine",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta's Pocket Gopher,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Geomyidae,90690,180228,Active,Thomomys talpoides,Northern Pocket Gopher,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Heteromyidae,260578,552482,Active,Chaetodipus formosus,Long-tailed Pocket Mouse,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Heteromyidae,260582,552484,Active,Chaetodipus intermedius,Rock Pocket Mouse,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Heteromyidae,90705,180241,Active,Dipodomys merriami,Merriam's Kangaroo Rat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Heteromyidae,90706,180242,Active,Dipodomys microps,Chisel-toothed Kangaroo Rat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Heteromyidae,90708,180244,Active,Dipodomys ordii,Ord's Kangaroo Rat,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Heteromyidae,90721,180256,Active,Perognathus amplus,Arizona Pocket Mouse,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Heteromyidae,90728,180262,Active,Perognathus flavus,Silky Pocket Mouse,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Heteromyidae,90735,180269,Active,Perognathus parvus,Great Basin Pocket Mouse,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House Mouse,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,90635,180179,Active,Ammospermophilus harrisii,"Harris' antelope squirrel, Harris's Antelope Squirrel",,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,90638,180181,Active,Ammospermophilus leucurus,White-tailed Antelope Squirrel,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,90641,180184,Active,Cynomys gunnisoni,Gunnison's Prairie Dog,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,926589,930407,Active,Sciurus aberti aberti,Abert's Squirrel,Sciurus aberti,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,921965,930412,Active,Sciurus aberti kaibabensis,Kaibab Squirrel,"Sciurus aberti kaibabensis, Sciurus kaibabensis",Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,89684,180154,Active,Spermophilus lateralis,Golden-mantled Ground Squirrel,,Present
