Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"pronghorn, Pronghorn",,Present
GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Bovidae,107797,203618,Active,Bos bison,"American bison, American Bison, bison",Bison bison,Present
GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,"mountain goat, Mountain Goat, Rocky Mountain goat",,Probably Present
GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,"bighorn sheep, Bighorn Sheep",,Present
GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,"Eurasian Elk, moose",,Present
GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,Elk,,Present
GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer",,Present
GRTE,Grand Teton National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,"white-tailed deer, White-tailed Deer",,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray Wolf, Wolf",,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,"Canada lynx, Canadian Lynx, lynx",,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Probably Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,Felis concolor,Probably Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,River Otter,Lutra canadensis,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,Pine marten,,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American Mink,,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, Badger",,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American Black Bear, black bear",,Present
GRTE,Grand Teton National Park,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,"Brown Bear, Grizzly Bear",,Present
GRTE,Grand Teton National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,Plecotus townsendii,Present
GRTE,Grand Teton National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
GRTE,Grand Teton National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
GRTE,Grand Teton National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Present
GRTE,Grand Teton National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",,Present
GRTE,Grand Teton National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Present
GRTE,Grand Teton National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Present
GRTE,Grand Teton National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
GRTE,Grand Teton National Park,Mammal,1,Eulipotyphla,Soricidae,88122,179929,Active,Sorex cinereus,"Cinereus Shrew, common shrew, Masked Shrew",,Present
GRTE,Grand Teton National Park,Mammal,1,Eulipotyphla,Soricidae,88665,179950,Active,Sorex monticolus,"Dusky Shrew, Montane Shrew",,Present
GRTE,Grand Teton National Park,Mammal,1,Eulipotyphla,Soricidae,88666,179951,Active,Sorex nanus,"Dwarf Shrew, Rocky Mountain dwarf shrew",,Probably Present
GRTE,Grand Teton National Park,Mammal,1,Eulipotyphla,Soricidae,88127,179933,Active,Sorex palustris,"American Water Shrew, northern water shrew, Water Shrew",,Present
GRTE,Grand Teton National Park,Mammal,1,Eulipotyphla,Soricidae,88126,179932,Active,Sorex vagrans,"Vagrant Shrew, wandering shrew",,Present
