Title
Grand Canyon NP

Year,RecreationVisitors,TotalRecreationVisitors
1919,"37,745","240,991,619"
1920,"67,315","240,991,619"
1921,"67,485","240,991,619"
1922,"84,700","240,991,619"
1923,"102,166","240,991,619"
1924,"108,256","240,991,619"
1925,"134,053","240,991,619"
1926,"140,252","240,991,619"
1927,"162,356","240,991,619"
1928,"167,226","240,991,619"
1929,"184,093","240,991,619"
1930,"172,763","240,991,619"
1931,"156,964","240,991,619"
1932,"121,267","240,991,619"
1933,"105,475","240,991,619"
1934,"140,220","240,991,619"
1935,"206,018","240,991,619"
1936,"268,412","240,991,619"
1937,"297,876","240,991,619"
1938,"336,557","240,991,619"
1939,"395,940","240,991,619"
1940,"371,613","240,991,619"
1941,"436,566","240,991,619"
1942,"132,584","240,991,619"
1943,"71,650","240,991,619"
1944,"64,568","240,991,619"
1945,"169,960","240,991,619"
1946,"486,834","240,991,619"
1947,"622,363","240,991,619"
1948,"618,033","240,991,619"
1949,"600,690","240,991,619"
1950,"665,039","240,991,619"
1951,"682,152","240,991,619"
1952,"737,159","240,991,619"
1953,"836,878","240,991,619"
1954,"814,700","240,991,619"
1955,"892,400","240,991,619"
1956,"1,033,700","240,991,619"
1957,"1,102,400","240,991,619"
1958,"1,064,000","240,991,619"
1959,"1,169,400","240,991,619"
1960,"1,187,700","240,991,619"
1961,"1,253,000","240,991,619"
1962,"1,447,400","240,991,619"
1963,"1,539,500","240,991,619"
1964,"1,576,600","240,991,619"
1965,"1,689,200","240,991,619"
1966,"1,806,000","240,991,619"
1967,"1,804,900","240,991,619"
1968,"1,986,300","240,991,619"
1969,"2,192,600","240,991,619"
1970,"2,258,200","240,991,619"
1971,"2,402,100","240,991,619"
1972,"2,698,300","240,991,619"
1973,"1,909,700","240,991,619"
1974,"1,888,600","240,991,619"
1975,"2,625,100","240,991,619"
1976,"2,791,600","240,991,619"
1977,"2,627,200","240,991,619"
1978,"2,748,642","240,991,619"
1979,"2,131,716","240,991,619"
1980,"2,304,973","240,991,619"
1981,"2,472,270","240,991,619"
1982,"2,293,127","240,991,619"
1983,"2,248,082","240,991,619"
1984,"2,173,584","240,991,619"
1985,"2,711,529","240,991,619"
1986,"3,035,787","240,991,619"
1987,"3,513,030","240,991,619"
1988,"3,859,886","240,991,619"
1989,"3,966,209","240,991,619"
1990,"3,776,685","240,991,619"
1991,"3,886,031","240,991,619"
1992,"4,203,545","240,991,619"
1993,"4,575,602","240,991,619"
1994,"4,364,316","240,991,619"
1995,"4,557,645","240,991,619"
1996,"4,537,703","240,991,619"
1997,"4,791,668","240,991,619"
1998,"4,239,682","240,991,619"
1999,"4,575,124","240,991,619"
2000,"4,460,228","240,991,619"
2001,"4,104,809","240,991,619"
2002,"4,001,974","240,991,619"
2003,"4,124,900","240,991,619"
2004,"4,326,234","240,991,619"
2005,"4,401,522","240,991,619"
2006,"4,279,439","240,991,619"
2007,"4,413,668","240,991,619"
2008,"4,425,314","240,991,619"
2009,"4,348,068","240,991,619"
2010,"4,388,386","240,991,619"
2011,"4,298,178","240,991,619"
2012,"4,421,352","240,991,619"
2013,"4,564,840","240,991,619"
2014,"4,756,771","240,991,619"
2015,"5,520,736","240,991,619"
2016,"5,969,811","240,991,619"
2017,"6,254,238","240,991,619"
2018,"6,380,495","240,991,619"
2019,"5,974,411","240,991,619"
2020,"2,897,098","240,991,619"
2021,"4,532,677","240,991,619"
2022,"4,732,101","240,991,619"
2023,"4,733,705","240,991,619"

