Title
Mesa Verde NP

Year,RecreationVisitors,TotalRecreationVisitors
1908,80,"36,438,206"
1909,165,"36,438,206"
1910,250,"36,438,206"
1911,206,"36,438,206"
1912,230,"36,438,206"
1913,280,"36,438,206"
1914,502,"36,438,206"
1915,663,"36,438,206"
1916,"1,385","36,438,206"
1917,"2,223","36,438,206"
1918,"2,058","36,438,206"
1919,"2,287","36,438,206"
1920,"2,890","36,438,206"
1921,"3,003","36,438,206"
1922,"4,251","36,438,206"
1923,"5,236","36,438,206"
1924,"7,109","36,438,206"
1925,"9,043","36,438,206"
1926,"11,356","36,438,206"
1927,"11,915","36,438,206"
1928,"16,760","36,438,206"
1929,"14,517","36,438,206"
1930,"16,656","36,438,206"
1931,"18,003","36,438,206"
1932,"15,760","36,438,206"
1933,"16,185","36,438,206"
1934,"21,474","36,438,206"
1935,"21,835","36,438,206"
1936,"25,571","36,438,206"
1937,"28,171","36,438,206"
1938,"30,911","36,438,206"
1939,"32,246","36,438,206"
1940,"36,448","36,438,206"
1941,"42,406","36,438,206"
1942,"13,045","36,438,206"
1943,"4,621","36,438,206"
1944,"5,561","36,438,206"
1945,"12,994","36,438,206"
1946,"39,843","36,438,206"
1947,"52,975","36,438,206"
1948,"59,362","36,438,206"
1949,"78,024","36,438,206"
1950,"88,184","36,438,206"
1951,"99,309","36,438,206"
1952,"105,700","36,438,206"
1953,"136,123","36,438,206"
1954,"150,300","36,438,206"
1955,"161,300","36,438,206"
1956,"186,800","36,438,206"
1957,"193,900","36,438,206"
1958,"201,300","36,438,206"
1959,"217,400","36,438,206"
1960,"225,700","36,438,206"
1961,"227,700","36,438,206"
1962,"262,200","36,438,206"
1963,"325,300","36,438,206"
1964,"344,400","36,438,206"
1965,"378,300","36,438,206"
1966,"423,400","36,438,206"
1967,"435,000","36,438,206"
1968,"449,800","36,438,206"
1969,"513,800","36,438,206"
1970,"527,200","36,438,206"
1971,"518,500","36,438,206"
1972,"546,286","36,438,206"
1973,"482,900","36,438,206"
1974,"445,400","36,438,206"
1975,"614,500","36,438,206"
1976,"675,100","36,438,206"
1977,"663,700","36,438,206"
1978,"653,052","36,438,206"
1979,"473,715","36,438,206"
1980,"539,257","36,438,206"
1981,"588,608","36,438,206"
1982,"602,968","36,438,206"
1983,"604,115","36,438,206"
1984,"516,865","36,438,206"
1985,"656,271","36,438,206"
1986,"658,888","36,438,206"
1987,"728,566","36,438,206"
1988,"772,183","36,438,206"
1989,"600,045","36,438,206"
1990,"611,375","36,438,206"
1991,"678,075","36,438,206"
1992,"742,080","36,438,206"
1993,"666,054","36,438,206"
1994,"685,031","36,438,206"
1995,"663,794","36,438,206"
1996,"617,360","36,438,206"
1997,"627,720","36,438,206"
1998,"604,556","36,438,206"
1999,"635,736","36,438,206"
2000,"452,287","36,438,206"
2001,"513,409","36,438,206"
2002,"406,385","36,438,206"
2003,"438,590","36,438,206"
2004,"446,811","36,438,206"
2005,"498,333","36,438,206"
2006,"557,248","36,438,206"
2007,"541,102","36,438,206"
2008,"551,446","36,438,206"
2009,"550,377","36,438,206"
2010,"559,712","36,438,206"
2011,"572,329","36,438,206"
2012,"488,860","36,438,206"
2013,"460,237","36,438,206"
2014,"501,563","36,438,206"
2015,"547,325","36,438,206"
2016,"583,527","36,438,206"
2017,"613,788","36,438,206"
2018,"563,420","36,438,206"
2019,"556,203","36,438,206"
2020,"287,477","36,438,206"
2021,"548,477","36,438,206"
2022,"499,790","36,438,206"
2023,"505,194","36,438,206"

