Title
Rocky Mountain NP

Year,RecreationVisitors,TotalRecreationVisitors
1915,"31,000","209,930,678"
1916,"51,000","209,930,678"
1917,"117,186","209,930,678"
1918,"101,497","209,930,678"
1919,"169,492","209,930,678"
1920,"240,966","209,930,678"
1921,"273,737","209,930,678"
1922,"219,164","209,930,678"
1923,"218,000","209,930,678"
1924,"224,211","209,930,678"
1925,"233,912","209,930,678"
1926,"225,027","209,930,678"
1927,"229,862","209,930,678"
1928,"235,057","209,930,678"
1929,"274,408","209,930,678"
1930,"255,874","209,930,678"
1931,"265,663","209,930,678"
1932,"282,980","209,930,678"
1933,"291,934","209,930,678"
1934,"365,392","209,930,678"
1935,"367,568","209,930,678"
1936,"550,496","209,930,678"
1937,"651,899","209,930,678"
1938,"659,802","209,930,678"
1939,"609,029","209,930,678"
1940,"627,847","209,930,678"
1941,"681,845","209,930,678"
1942,"383,670","209,930,678"
1943,"124,353","209,930,678"
1944,"211,953","209,930,678"
1945,"356,793","209,930,678"
1946,"804,588","209,930,678"
1947,"923,065","209,930,678"
1948,"1,023,262","209,930,678"
1949,"1,148,216","209,930,678"
1950,"1,275,160","209,930,678"
1951,"1,167,093","209,930,678"
1952,"1,364,503","209,930,678"
1953,"1,420,152","209,930,678"
1954,"1,425,600","209,930,678"
1955,"1,454,000","209,930,678"
1956,"1,587,400","209,930,678"
1957,"1,508,200","209,930,678"
1958,"1,478,200","209,930,678"
1959,"1,459,600","209,930,678"
1960,"1,532,500","209,930,678"
1961,"1,538,000","209,930,678"
1962,"1,773,800","209,930,678"
1963,"1,855,400","209,930,678"
1964,"1,885,900","209,930,678"
1965,"1,619,800","209,930,678"
1966,"1,865,600","209,930,678"
1967,"1,915,200","209,930,678"
1968,"2,187,600","209,930,678"
1969,"2,217,200","209,930,678"
1970,"2,357,900","209,930,678"
1971,"2,449,900","209,930,678"
1972,"2,513,420","209,930,678"
1973,"2,507,600","209,930,678"
1974,"2,489,300","209,930,678"
1975,"2,842,200","209,930,678"
1976,"2,727,900","209,930,678"
1977,"2,882,100","209,930,678"
1978,"3,024,868","209,930,678"
1979,"2,568,530","209,930,678"
1980,"2,641,937","209,930,678"
1981,"2,911,242","209,930,678"
1982,"2,564,116","209,930,678"
1983,"2,599,006","209,930,678"
1984,"2,231,448","209,930,678"
1985,"2,248,854","209,930,678"
1986,"2,408,234","209,930,678"
1987,"2,531,864","209,930,678"
1988,"2,544,211","209,930,678"
1989,"2,502,915","209,930,678"
1990,"2,647,323","209,930,678"
1991,"2,751,781","209,930,678"
1992,"2,788,868","209,930,678"
1993,"2,780,342","209,930,678"
1994,"2,968,450","209,930,678"
1995,"2,878,169","209,930,678"
1996,"2,923,755","209,930,678"
1997,"2,965,354","209,930,678"
1998,"3,035,422","209,930,678"
1999,"3,186,323","209,930,678"
2000,"3,185,392","209,930,678"
2001,"3,139,685","209,930,678"
2002,"2,988,475","209,930,678"
2003,"3,067,256","209,930,678"
2004,"2,781,899","209,930,678"
2005,"2,798,368","209,930,678"
2006,"2,743,676","209,930,678"
2007,"2,895,383","209,930,678"
2008,"2,757,390","209,930,678"
2009,"2,822,325","209,930,678"
2010,"2,955,821","209,930,678"
2011,"3,176,941","209,930,678"
2012,"3,229,617","209,930,678"
2013,"2,991,141","209,930,678"
2014,"3,434,751","209,930,678"
2015,"4,155,916","209,930,678"
2016,"4,517,585","209,930,678"
2017,"4,437,215","209,930,678"
2018,"4,590,493","209,930,678"
2019,"4,670,053","209,930,678"
2020,"3,305,199","209,930,678"
2021,"4,434,848","209,930,678"
2022,"4,300,424","209,930,678"
2023,"4,115,837","209,930,678"

