Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"antelope, pronghorn",,Present
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Bovidae,95055,180706,Active,Bison bison,"bison, buffalo",,Present
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,"mountain goat, Mountain Goat, Rocky Mountain goat",,Present
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,"bighorn sheep, Bighorn Sheep",,Present
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,"Eurasian Elk, moose",,Present
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,891452,898973,Active,Alces alces shirasi,Yellowstone moose,,Present
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,Rocky Mountain Elk,,Present
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,"mule deer, Mule Deer",,Present
YELL,Yellowstone National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,"white-tailed deer, White-tailed Deer",,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,"Gray Wolf, Wolf",,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,"Canada lynx, Canadian Lynx, lynx",,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Felis rufus,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"Catamount, Cougar, Mountain Lion, Puma",,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,North American wolverine,Gulo luscus,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,River Otter,,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,Pine Marten,,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"ermine, short tailed weasel",,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,American Mink,,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, Badger",,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, Northern Raccoon, Raccoon",,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American Black Bear, black bear",,Present
YELL,Yellowstone National Park,Mammal,1,Carnivora,Ursidae,107229,202385,Active,Ursus arctos horribilis,Grizzly Bear,,Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,"pale Townsend's big-eared bat, Pacific Townsend's big-eared bat, Townsend's big-eared bat","Plecotus townsendii pallescens, Plecotus townsendii townsendii",Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,"Black Bat, Silver-black Bat, Silver-haired Bat",,Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,"Hoary Bat, Northern Hoary Bat",,Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,"California Myotis, Californian Myotis",,Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Western Long-eared Bat",,Probably Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Present
YELL,Yellowstone National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
