Title
Yellowstone NP

Year,RecreationVisitors,TotalRecreationVisitors
1904,"13,727","203,750,110"
1905,"26,188","203,750,110"
1906,"17,182","203,750,110"
1907,"16,414","203,750,110"
1908,"19,542","203,750,110"
1909,"32,545","203,750,110"
1910,"19,575","203,750,110"
1911,"23,054","203,750,110"
1912,"22,970","203,750,110"
1913,"24,929","203,750,110"
1914,"20,250","203,750,110"
1915,"51,895","203,750,110"
1916,"35,849","203,750,110"
1917,"35,400","203,750,110"
1918,"21,275","203,750,110"
1919,"62,261","203,750,110"
1920,"79,777","203,750,110"
1921,"81,651","203,750,110"
1922,"98,223","203,750,110"
1923,"138,352","203,750,110"
1924,"144,158","203,750,110"
1925,"154,282","203,750,110"
1926,"187,807","203,750,110"
1927,"200,825","203,750,110"
1928,"230,984","203,750,110"
1929,"260,697","203,750,110"
1930,"227,901","203,750,110"
1931,"221,248","203,750,110"
1932,"157,624","203,750,110"
1933,"161,938","203,750,110"
1934,"260,775","203,750,110"
1935,"317,998","203,750,110"
1936,"432,570","203,750,110"
1937,"499,242","203,750,110"
1938,"466,185","203,750,110"
1939,"486,936","203,750,110"
1940,"526,437","203,750,110"
1941,"579,696","203,750,110"
1942,"185,746","203,750,110"
1943,"61,696","203,750,110"
1944,"86,593","203,750,110"
1945,"189,264","203,750,110"
1946,"807,917","203,750,110"
1947,"937,776","203,750,110"
1948,"1,018,279","203,750,110"
1949,"1,131,159","203,750,110"
1950,"1,110,524","203,750,110"
1951,"1,163,894","203,750,110"
1952,"1,350,295","203,750,110"
1953,"1,326,858","203,750,110"
1954,"1,328,900","203,750,110"
1955,"1,368,500","203,750,110"
1956,"1,457,800","203,750,110"
1957,"1,595,900","203,750,110"
1958,"1,442,400","203,750,110"
1959,"1,408,700","203,750,110"
1960,"1,443,300","203,750,110"
1961,"1,524,100","203,750,110"
1962,"1,925,200","203,750,110"
1963,"1,872,500","203,750,110"
1964,"1,929,300","203,750,110"
1965,"2,062,500","203,750,110"
1966,"2,130,300","203,750,110"
1967,"2,210,000","203,750,110"
1968,"2,229,700","203,750,110"
1969,"2,193,700","203,750,110"
1970,"2,297,300","203,750,110"
1971,"2,120,500","203,750,110"
1972,"2,236,888","203,750,110"
1973,"2,061,700","203,750,110"
1974,"1,928,900","203,750,110"
1975,"2,239,500","203,750,110"
1976,"2,519,200","203,750,110"
1977,"2,481,900","203,750,110"
1978,"2,618,380","203,750,110"
1979,"1,892,908","203,750,110"
1980,"2,000,269","203,750,110"
1981,"2,521,831","203,750,110"
1982,"2,368,897","203,750,110"
1983,"2,347,242","203,750,110"
1984,"2,222,027","203,750,110"
1985,"2,226,159","203,750,110"
1986,"2,363,756","203,750,110"
1987,"2,573,194","203,750,110"
1988,"2,182,113","203,750,110"
1989,"2,644,442","203,750,110"
1990,"2,823,572","203,750,110"
1991,"2,920,537","203,750,110"
1992,"3,144,405","203,750,110"
1993,"2,912,193","203,750,110"
1994,"3,046,145","203,750,110"
1995,"3,125,285","203,750,110"
1996,"3,012,171","203,750,110"
1997,"2,889,513","203,750,110"
1998,"3,120,830","203,750,110"
1999,"3,131,381","203,750,110"
2000,"2,838,233","203,750,110"
2001,"2,758,526","203,750,110"
2002,"2,973,677","203,750,110"
2003,"3,019,375","203,750,110"
2004,"2,868,317","203,750,110"
2005,"2,835,651","203,750,110"
2006,"2,870,295","203,750,110"
2007,"3,151,343","203,750,110"
2008,"3,066,580","203,750,110"
2009,"3,295,187","203,750,110"
2010,"3,640,185","203,750,110"
2011,"3,394,326","203,750,110"
2012,"3,447,729","203,750,110"
2013,"3,188,030","203,750,110"
2014,"3,513,484","203,750,110"
2015,"4,097,710","203,750,110"
2016,"4,257,177","203,750,110"
2017,"4,116,524","203,750,110"
2018,"4,115,000","203,750,110"
2019,"4,020,288","203,750,110"
2020,"3,806,306","203,750,110"
2021,"4,860,242","203,750,110"
2022,"3,290,242","203,750,110"
2023,"4,501,382","203,750,110"

