Title
Zion NP

Year,RecreationVisitors,TotalRecreationVisitors
1919,"1,814","142,570,935"
1920,"3,692","142,570,935"
1921,"2,937","142,570,935"
1922,"4,109","142,570,935"
1923,"6,408","142,570,935"
1924,"8,400","142,570,935"
1925,"16,817","142,570,935"
1926,"21,964","142,570,935"
1927,"24,303","142,570,935"
1928,"30,016","142,570,935"
1929,"33,383","142,570,935"
1930,"55,297","142,570,935"
1931,"59,186","142,570,935"
1932,"51,650","142,570,935"
1933,"48,763","142,570,935"
1934,"68,801","142,570,935"
1935,"97,280","142,570,935"
1936,"124,393","142,570,935"
1937,"137,404","142,570,935"
1938,"149,075","142,570,935"
1939,"158,063","142,570,935"
1940,"165,029","142,570,935"
1941,"192,805","142,570,935"
1942,"68,797","142,570,935"
1943,"44,089","142,570,935"
1944,"42,243","142,570,935"
1945,"78,280","142,570,935"
1946,"212,280","142,570,935"
1947,"273,953","142,570,935"
1948,"297,571","142,570,935"
1949,"307,881","142,570,935"
1950,"323,402","142,570,935"
1951,"331,079","142,570,935"
1952,"352,921","142,570,935"
1953,"389,445","142,570,935"
1954,"416,800","142,570,935"
1955,"406,800","142,570,935"
1956,"421,200","142,570,935"
1957,"525,100","142,570,935"
1958,"590,700","142,570,935"
1959,"585,000","142,570,935"
1960,"575,800","142,570,935"
1961,"604,700","142,570,935"
1962,"622,100","142,570,935"
1963,"681,100","142,570,935"
1964,"705,200","142,570,935"
1965,"763,600","142,570,935"
1966,"815,200","142,570,935"
1967,"788,400","142,570,935"
1968,"877,100","142,570,935"
1969,"904,300","142,570,935"
1970,"903,600","142,570,935"
1971,"897,000","142,570,935"
1972,"889,417","142,570,935"
1973,"993,800","142,570,935"
1974,"859,300","142,570,935"
1975,"1,055,200","142,570,935"
1976,"1,090,000","142,570,935"
1977,"1,105,900","142,570,935"
1978,"1,193,212","142,570,935"
1979,"1,040,528","142,570,935"
1980,"1,123,846","142,570,935"
1981,"1,288,808","142,570,935"
1982,"1,246,290","142,570,935"
1983,"1,273,030","142,570,935"
1984,"1,377,254","142,570,935"
1985,"1,503,272","142,570,935"
1986,"1,670,503","142,570,935"
1987,"1,777,619","142,570,935"
1988,"1,948,332","142,570,935"
1989,"1,998,856","142,570,935"
1990,"2,102,400","142,570,935"
1991,"2,236,997","142,570,935"
1992,"2,390,626","142,570,935"
1993,"2,392,580","142,570,935"
1994,"2,270,871","142,570,935"
1995,"2,430,162","142,570,935"
1996,"2,498,001","142,570,935"
1997,"2,445,534","142,570,935"
1998,"2,370,048","142,570,935"
1999,"2,449,664","142,570,935"
2000,"2,432,348","142,570,935"
2001,"2,217,779","142,570,935"
2002,"2,592,545","142,570,935"
2003,"2,458,792","142,570,935"
2004,"2,677,342","142,570,935"
2005,"2,586,665","142,570,935"
2006,"2,567,350","142,570,935"
2007,"2,657,281","142,570,935"
2008,"2,690,154","142,570,935"
2009,"2,735,402","142,570,935"
2010,"2,665,972","142,570,935"
2011,"2,825,505","142,570,935"
2012,"2,973,607","142,570,935"
2013,"2,807,387","142,570,935"
2014,"3,189,696","142,570,935"
2015,"3,648,846","142,570,935"
2016,"4,295,127","142,570,935"
2017,"4,504,812","142,570,935"
2018,"4,320,033","142,570,935"
2019,"4,488,268","142,570,935"
2020,"3,591,254","142,570,935"
2021,"5,039,835","142,570,935"
2022,"4,692,417","142,570,935"
2023,"4,623,238","142,570,935"

