Park,Incidents,Open Cases,Closed-Incident Only,Closed: Found,Closed: Not found
Grand Canyon National Park,785,4,689,89,0
Yosemite National Park,732,5,665,51,1
Sequoia and Kings Canyon National Parks,503,3,485,14,1
Yellowstone National Park,371,1,363,0,0
Rocky Mountain National Park,341,19,17,50,3
Zion National Park,285,0,285,0,0
Glen Canyon National Recreation Area,279,0,276,2,0
Grand Teton National Park,224,13,14,98,1
Olympic National Park,204,4,189,6,0
Arches National Park,202,0,49,115,6
Great Smoky Mountains National Park,198,0,197,1,0
Glacier National Park,165,0,164,0,0
Mount Rainier National Park,146,101,41,2,0
Jewel Cave National Monument,133,0,133,0,0
Buffalo National River,131,0,129,1,0
Shenandoah National Park,131,0,126,3,0
Golden Gate National Recreation Area,127,1,106,3,1
Canyonlands National Park,122,1,113,5,0
Delaware Water Gap National Recreation Area,120,0,119,1,0
Denali National Preserve,118,1,111,5,0
Big Bend National Park,110,0,97,7,2
Bryce Canyon National Park,110,0,110,0,0
Joshua Tree National Park,106,1,98,3,1
Ozark National Scenic Riverways,100,14,85,0,0
Big South Fork National River and Recreation Area,85,0,80,1,0
Everglades National Park,85,1,81,2,0
Sleeping Bear Dunes National Lakeshore,85,0,32,46,3
Acadia National Park,82,0,81,0,0
Blue Ridge Parkway,78,28,43,1,0
North Cascades National Park,73,3,55,14,1
Pinnacles National Park,72,0,72,0,0
Pictured Rocks National Lakeshore,71,0,69,0,0
Death Valley National Park,67,7,56,2,1
Point Reyes National Seashore,53,0,50,2,0
Indiana Dunes National Lakeshore,48,0,48,0,0
Lassen Volcanic National Park,45,0,45,0,0
Upper Delaware Scenic and Recreational River,45,0,45,0,0
Isle Royale National Park,43,0,42,0,0
Mammoth Cave National Park,42,0,40,2,0
Cape Cod National Seashore,40,0,40,0,0
Guadalupe Mountains National Park,40,0,35,1,4
Santa Monica Mountains National Recreation Area,39,0,38,1,0
Saguaro National Park,37,0,32,4,1
New River Gorge National Park and Preserve,36,0,31,3,0
Little River Canyon National Preserve,35,2,31,0,0
Voyageurs National Park,35,0,34,1,0
Cape Hatteras National Seashore,34,1,32,1,0
Theodore Roosevelt National Park,34,0,34,0,0
Channel Islands National Park,33,1,28,4,0
Crater Lake National Park,33,0,27,4,0
Mount Rushmore National Memorial,27,0,26,1,0
White Sands National Monument,27,0,27,0,0
Big Cypress National Preserve,26,0,25,1,0
Capitol Reef National Park,26,0,26,0,0
Black Canyon of the Gunnison National Park,25,0,25,0,0
Glacier Bay National Park,24,0,11,2,0
Whiskeytown–Shasta–Trinity National Recreation Area,24,0,24,0,0
Saint Croix National Scenic Riverway,22,0,22,0,0
Colorado National Monument,21,0,18,3,0
Devils Tower National Monument,21,0,20,0,0
Jefferson National Expansion Memorial,21,0,21,0,0
Apostle Island National Lakeshore,20,0,20,0,0
Assateague Island National Seashore,20,5,14,0,0
Chattahoochee River National Recreation Area,20,2,9,4,0
Devils Postpile National Monument,20,0,20,0,0
Cuyahoga Valley National Park,19,0,18,0,0
Dinosaur National Monument,19,1,12,3,0
Great Basin National Park,19,0,19,0,0
Wrangell-St. Elias National Park & Preserve,19,2,14,3,0
Independence National Historical Park,18,0,17,0,0
